Ref,Val,Package,PosX,PosY,Rot,Side
"R59","330","R_0603_1608Metric",1.050000,1.530000,90.000000,bottom
"R60","150","R_0603_1608Metric",1.110000,1.530000,90.000000,bottom
"R61","680","R_0603_1608Metric",1.995276,1.666142,180.000000,bottom
"R63","15k","R_0603_1608Metric",2.890000,1.775000,0.000000,bottom
"R64","15k","R_0603_1608Metric",3.129921,1.784291,180.000000,bottom
"R65","680","R_0603_1608Metric",3.275591,0.799291,90.000000,bottom
"R66","1.2k","R_0603_1608Metric",3.145591,1.654291,0.000000,bottom
"RA1","15k","R_0603_1608Metric",2.392126,0.652756,0.000000,bottom
"RA2","15k","R_0603_1608Metric",0.600000,1.175000,180.000000,bottom
"RA3","15k","R_0603_1608Metric",2.300000,1.225000,0.000000,bottom
"RB1","18k","R_0603_1608Metric",2.525000,0.800000,270.000000,bottom
"RB2","4.7k","R_0603_1608Metric",0.475000,1.075000,90.000000,bottom
"RB3","3.3k","R_0603_1608Metric",2.425000,1.325000,270.000000,bottom
"RD9","0","R_0805_2012Metric_Pad1.29x1.40mm_HandSolder",2.785591,1.519291,180.000000,bottom
"RD51","0","R_0805_2012Metric_Pad1.29x1.40mm_HandSolder",2.425591,1.799291,90.000000,bottom
"RD52","0","R_0805_2012Metric_Pad1.29x1.40mm_HandSolder",2.600591,1.804291,270.000000,bottom
"RP1","0","R_0805_2012Metric_Pad1.29x1.40mm_HandSolder",2.290591,0.585000,270.000000,bottom
"RP2","0","R_0805_2012Metric_Pad1.29x1.40mm_HandSolder",0.630000,0.930000,0.000000,bottom
"RP3","0","R_0805_2012Metric_Pad1.29x1.40mm_HandSolder",2.180000,1.335000,270.000000,bottom
"U3","TLV62569DBV","TSOT-25",2.625000,0.800000,0.000000,bottom
"U4","TLV62569DBV","TSOT-25",0.375000,1.075000,180.000000,bottom
"U5","TLV62569DBV","TSOT-25",2.525000,1.320000,0.000000,bottom
"U6","FT231XS","FT231X-SSOP-20_4.4x6.5mm_Pitch0.65mm",1.525000,0.200000,180.000000,bottom
"U7","PCF8523","SOT96-1",3.125591,0.744291,90.000000,bottom
"U9","ESP-WROOM32","ESP32-WROOM",0.910630,0.254724,180.000000,bottom
"U10","IS25LP128F-JBLE","SOA008-150-208mil",0.950591,1.039291,270.000000,bottom
"U11","PCA9306D","SM8",1.991339,1.827500,90.000000,bottom
"Y2","32768Hz","Crystal_SMD_ABS25",3.215591,0.484173,180.000000,bottom
